gene_name,uniprot,hgnc_symbol,ensembl
DBH,P09172,DBH,ENSG00000123454
DCC,P43146,DCC,ENSG00000187323
DDC,P20711,DDC,ENSG00000132437
DDR1,Q08345,DDR1,ENSG00000223680
DDR1,Q08345,DDR1,ENSG00000215522
DDR1,Q08345,DDR1,ENSG00000230456
DDR1,Q08345,DDR1,ENSG00000229767
DDR1,Q08345,DDR1,ENSG00000234078
DDR1,Q08345,DDR1,ENSG00000204580
DDR1,Q08345,DDR1,ENSG00000137332
DHCR24,Q15392,DHCR24,ENSG00000116133
DHCR7,Q9UBM7,DHCR7,ENSG00000172893
DHH,O43323,DHH,ENSG00000139549
DHRS9,Q9BPW9,DHRS9,ENSG00000073737
DIO3,P55073,DIO3,ENSG00000197406
DKK1,O94907,DKK1,ENSG00000107984
DKK2,Q9UBU2,DKK2,ENSG00000155011
DLK1,P80370,DLK1,ENSG00000185559
DLL1,O00548,DLL1,ENSG00000275555
DLL1,O00548,DLL1,ENSG00000198719
DLL3,Q9NYJ7,DLL3,ENSG00000090932
DLL4,Q9NR61,DLL4,ENSG00000128917
DPEP1,P16444,DPEP1,ENSG00000015413
DPEP2,Q9H4A9,DPEP2,ENSG00000167261
DPEP3,Q9H4B8,DPEP3,ENSG00000141096
DPP4,P27487,DPP4,ENSG00000197635
DRD1,P21728,DRD1,ENSG00000184845
DRD2,P14416,DRD2,ENSG00000149295
DRD3,P35462,DRD3,ENSG00000151577
DRD4,P21917,DRD4,ENSG00000276825
DRD4,P21917,DRD4,ENSG00000069696
DRD5,P21918,DRD5,ENSG00000169676
DSC1,Q08554,DSC1,ENSG00000134765
DSC2,Q02487,DSC2,ENSG00000134755
DSC3,Q14574,DSC3,ENSG00000134762
DSCAM,O60469,DSCAM,ENSG00000171587
DSG1,Q02413,DSG1,ENSG00000134760
DSG2,Q14126,DSG2,ENSG00000046604
EBI3,Q14213,EBI3,ENSG00000105246
EDA,Q92838,EDA,ENSG00000158813
EDA2R,Q9HAV5,EDA2R,ENSG00000131080
EDAR,Q9UNE0,EDAR,ENSG00000135960
EDN2,P20800,EDN2,ENSG00000127129
EDNRA,P25101,EDNRA,ENSG00000151617
EFNA1,P20827,EFNA1,ENSG00000169242
EFNA2,O43921,EFNA2,ENSG00000099617
EFNA3,P52797,EFNA3,ENSG00000143590
EFNA4,P52798,EFNA4,ENSG00000243364
EFNA5,P52803,EFNA5,ENSG00000184349
EFNB1,P98172,EFNB1,ENSG00000090776
EFNB2,P52799,EFNB2,ENSG00000125266
EFNB3,Q15768,EFNB3,ENSG00000108947
EGF,P01133,EGF,ENSG00000138798
EGFR,P00533,EGFR,ENSG00000146648
ENHO,Q6UWT2,ENHO,ENSG00000168913
ENTPD1,P49961,ENTPD1,ENSG00000138185
EPB41L1,Q9H4G0,EPB41L1,ENSG00000088367
EPGN,Q6UW88,EPGN,ENSG00000182585
EPHA1,P21709,EPHA1,ENSG00000284816
EPHA1,P21709,EPHA1,ENSG00000146904
EPHA2,P29317,EPHA2,ENSG00000142627
EPHA3,P29320,EPHA3,ENSG00000044524
EPHA4,P54764,EPHA4,ENSG00000116106
EPHA5,P54756,EPHA5,ENSG00000145242
EPHA7,Q15375,EPHA7,ENSG00000135333
EPHA8,P29322,EPHA8,ENSG00000070886
EPHB1,P54762,EPHB1,ENSG00000154928
EPHB2,P29323,EPHB2,ENSG00000133216
EPHB3,P54753,EPHB3,ENSG00000182580
EPHB4,P54760,EPHB4,ENSG00000196411
EPHB6,O15197,EPHB6,ENSG00000106123
EPHB6,O15197,EPHB6,ENSG00000275482
EPO,P01588,EPO,ENSG00000130427
EPOR,P19235,EPOR,ENSG00000187266
ERBB2,P04626,ERBB2,ENSG00000141736
ERBB3,P21860,ERBB3,ENSG00000065361
ERBB4,Q15303,ERBB4,ENSG00000178568
EREG,O14944,EREG,ENSG00000124882
ERFE,Q4G0M1,ERFE,ENSG00000178752
ERVH48-1,M5A8F1,ERVH48-1,to_be_reviewed
ESAM,Q96AP7,ESAM,ENSG00000149564
ESR1,P03372,ESR1,ENSG00000091831
ESR2,Q92731,ESR2,ENSG00000140009
EZR,P15311,EZR,ENSG00000092820
F10,P00742,F10,ENSG00000126218
F11R,Q9Y624,F11R,ENSG00000158769
F2,P00734,F2,ENSG00000180210
FAM19A1,Q7Z5A9,FAM19A1,ENSG00000183662
FAM19A4,Q96LR4,FAM19A4,ENSG00000163377
FAM19A5,Q7Z5A7,FAM19A5,ENSG00000219438
FAM213B,Q8TBF2,FAM213B,ENSG00000157870
FAM213B,Q8TBF2,FAM213B,ENSG00000275125
FAM3C,Q92520,FAM3C,ENSG00000196937
FAS,P25445,FAS,ENSG00000026103
FASLG,P48023,FASLG,ENSG00000117560
FBN1,P35555,FBN1,ENSG00000166147
FCER2,P06734,FCER2,ENSG00000104921
FCGR2A,P12318,FCGR2A,ENSG00000143226
FCGRT,P55899,FCGRT,ENSG00000104870
FCRL4,Q96PJ5,FCRL4,ENSG00000163518
FDX1,P10109,FDX1,ENSG00000137714
FDX2,Q6P4F2,FDX2,ENSG00000267673
FDXR,P22570,FDXR,ENSG00000161513
FFAR2,O15552,FFAR2,ENSG00000126262
FGA,P02671,FGA,ENSG00000171560
FGB,P02675,FGB,ENSG00000171564
FGF1,P05230,FGF1,ENSG00000113578
FGF10,O15520,FGF10,ENSG00000070193
FGF17,O60258,FGF17,ENSG00000158815
FGF18,O76093,FGF18,ENSG00000156427
FGF19,O95750,FGF19,ENSG00000162344
FGF2,P09038,FGF2,ENSG00000138685
FGF20,Q9NP95,FGF20,ENSG00000078579
FGF21,Q9NSA1,FGF21,ENSG00000105550
FGF22,Q9HCT0,FGF22,ENSG00000070388
FGF23,Q9GZV9,FGF23,ENSG00000118972
FGF3,P11487,FGF3,ENSG00000186895
FGF4,P08620,FGF4,ENSG00000075388
FGF5,P12034,FGF5,ENSG00000138675
FGF6,P10767,FGF6,ENSG00000111241
FGF7,P21781,FGF7,ENSG00000140285
FGF8,P55075,FGF8,ENSG00000107831
FGF9,P31371,FGF9,ENSG00000102678
FGFR1,P11362,FGFR1,ENSG00000077782
FGFR2,P21802,FGFR2,ENSG00000066468
FGFR3,P22607,FGFR3,ENSG00000068078
FGFR4,P22455,FGFR4,ENSG00000160867
FGFRL1,Q8N441,FGFRL1,ENSG00000127418
